source,campaign_name,campaign_id,campaign_corrected,is_stada
facebook,Onfy_Android_Carousel_2022-11-20 W40+,23852172727690198,Onfy_Android_Carousel_2022-11-20 W40+,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:3|mt:b|d:all|f:all|fs:nu|g2v0|,18085733953,ohm,0
facebook,Web_Prosp_All_20+_Hausapotheke – Kopie,23851859266250198,Web_Prosp_All_20+_Hausapotheke,0
facebook,Web_Traffic_All_20+,23852078291820198,Web_Traffic_All_20+,0
tiktok,AdChampagne_Android_TikTok_MN12.03 (1727105783587857),1727105783587857,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:2|mt:b|d:all|f:all|fs:nu|g2v0|,18085733944,ohm,0
facebook,Piabo_Web_Facebook_Social-Media-AWARENESS,23850473649090198,Piabo_Web_Facebook_Social-Media-AWARENESS,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:0|mt:b|d:all|f:all|fs:nu|g0v1|,17536972057,ohm,0
facebook,Web_Prosp_All_20+_Hausapotheke,23851859266250198,Web_Prosp_All_20+_Hausapotheke,0
tiktok,Rocket10_Android_TT_1104_Onfy_DE_AM_1 (1729807035050018),1729807035050018,rocket10,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:25|mt:nu|d:all|f:all|fs:nu|g1v0|,18571224429,ohm,0
facebook,Mobihunter_Android_FB_campaign11.10_mobihunter_Onfy_i5z_1110_DR_DE_int_Feed (23851424781980470),23851424781980470,mobihunter,0
facebook,Mobihunter_Android_FB_campaign07.09_mobihunter_Onfy_i5z_0709_DR_DE_CPI_int_feed (6291846513611),6291846513611,mobihunter,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:0|mt:e|d:all|f:all|fs:nu|g0v1|,17533705827,ohm,0
tiktok,AdChampagne_Android_TikTok_ANT20.10.22 (1747216727219217),1747216727219217,adchampagne,0
tiktok,Whiteleads_Android_TikTok_EK1 (1728992513348641),1728992513348641,whiteleads,0
tiktok,Rocket10_Android_TikTok_Onfy_DE_1104_ANI_goo (1729842394212353),1729842394212353,rocket10,0
tiktok,Mobihunter_Android_TikTok_campaign01.09_mobihunter_Onfy_i5z_0109_DR_DE_addtocard_promocod (1742753678900273),1742753678900273,mobihunter,0
facebook,Onfy_Android_Carousel_2022-11-17,23852144827550198,Onfy_Android_Carousel_2022-11-17,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:nu|mt:b|d:all|f:all|fs:nu|g1v0| (17725966467),17725966467,ohm,0
tiktok,Rocket10_Android_TikTok_0804_Onfy_DE_RV_all (1729554395105297),1729554395105297,rocket10,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:1|mt:nu|d:all|f:all|fs:nu|g0v0|,17356691997,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:main|st:site|sst:nu|mt:nu|d:all|f:all|fs:nu|g0v0|,17932557033,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:10|mt:nu|d:all|f:all|fs:nu|g1v0|,18580527299,ohm,0
facebook,Onfy_IOS_Facebook_AAA_catalog_27.11 Installs,23852448765780072,Onfy_IOS_Facebook_AAA_catalog_27.11 Installs,0
tiktok,AdChampagne_Android_TikTok_ANT04.10 (1745773550448689),1745773550448689,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:1|sst:nu|mt:nu|d:all|f:all|fs:nu|g0v0| (17309438045),17309438045,ohm,0
tiktok,Rocket10_Android_TT_2103_Onfy_DE_aba_blog_PURCH_dre_1 (1727901989871633),1727901989871633,rocket10,0
tiktok,adchampagne_Andr_DE_team#2_DSAP_onfy_0510 (1745778787569713),1745778787569713,adchampagne,0
tiktok,AdChampagne_Android_TikTok_APR20.10 (1747216373219346),1747216373219346,adchampagne,0
tiktok,Adchampagne_TikTok_ABR31.10 (1748205067973682),1748205067973682,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:1|sst:nu|mt:e|d:all|f:all|fs:nu|g0v0| (17306866786),17306866786,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:4|mt:b|d:all|f:all|fs:nu|g2v0| (18091109681),18091109681,ohm,0
tiktok,Rocket10_android_TikTok_Onfy_1803_DE_OR_PolPrice_newsound_purch (1727648035543058),1727648035543058,rocket10,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:2|sst:0|mt:e|d:all|f:all|fs:nu|g0v1|,17728335586,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:2|mt:nu|d:all|f:all|fs:nu|g0v0|,17432491607,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:mod|st:1|sst:nu|mt:nu|d:all|f:all|fs:nu|g0v0| (17376453836),17376453836,ohm,0
facebook,Instagram-Beitrag: Krank machen früher vs. krank...,23852226145570198,Instagram-Beitrag: Krank machen früher vs. krank...,0
tiktok,AdChampagne_team#2_KP_ONFY (1744403715647489),1744403715647489,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:0|mt:nu|d:all|f:all|fs:nu|g0v1|,17536972036,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:1|mt:b|d:all|f:all|fs:nu|g0v1|,17998036503,ohm,0
tiktok,Rocket10_Android_TT_Onfy_DE_1404_AP_unp2_st (1730077859741697),1730077859741697,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2104_DE_AM_t3 (1730712666734594),1730712666734594,rocket10,0
facebook,Web_Prosp_All_20+_Hausapotheke,23851847964220198,Web_Prosp_All_20+_Hausapotheke,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:offl|sst:nu|mt:b|d:all|f:all|fs:nu|g1v0| (17726932525),17726932525,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:4|mt:e|d:all|f:all|fs:nu|g2v0| (18084453507),18084453507,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:5|mt:b|d:all|f:all|fs:nu|g2v0| (18085733758),18085733758,ohm,0
facebook,Mobihunter_Android_FB_campaign17.10_mobihunter_Onfy_i5z_1710_DR_DE_int_Feed (23851733691400522),23851733691400522,mobihunter,0
tiktok,Rocket10_Android_TikTok_Onfy_1506_DE_AM (1735715893150770),1735715893150770,rocket10,0
tiktok,Rocket10_Android_TT_1803_Onfy_DE_AP_srav_2goal (1727647236341809),1727647236341809,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1804_DE_OM_starttrial_1 (1730425252770818),1730425252770818,rocket10,0
tiktok,Rocket10_Android_TikTok_1804_Onfy_DE_RV_instlalgran (1730462392037378),1730462392037378,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1804_DE_OM_adtocart_bloger_w_black (1730463743446017),1730463743446017,rocket10,0
tiktok,Rocket10_Android_TikTok_Onfy_DE_2804_ANI_go5 (1731347711958033),1731347711958033,rocket10,0
facebook,Onfy_Web+Android_Retargeting_IG_post,23851767906280198,Onfy_Web+Android_Retargeting_IG_post,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:3|mt:e|d:all|f:all|fs:nu|g2v0| (18086013337),18086013337,ohm,0
facebook,Instagram post: 🚨Es ist Zeit für ein...,23851812406610198,Instagram post: 🚨Es ist Zeit für ein...,0
tiktok,Whiteleads_Android_TikTok_OOO (1728915590071313),1728915590071313,whiteleads,0
tiktok,Rocket10_Android_TT_0704_Onfy_DE_aba_ruka_blog_PURCH_dre_1 (1729460948756561),1729460948756561,rocket10,0
tiktok,Rocket10_Android_TT_1104_Onfy_DE_AP_srav (1729811092298785),1729811092298785,rocket10,0
tiktok,AdChampagne_Android_TikTok_AKS17.03 (1727547502810129),1727547502810129,adchampagne,0
facebook,Instagram-Beitrag: Wenn man seine...,23852077502500198,Instagram-Beitrag: Wenn man seine...,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:1|mt:nu|d:all|f:all|fs:nu|g0v1|,17998034532,ohm,0
facebook,Onfy_Video_Granny_28.08.2022,23851295559770198,Onfy_Video_Granny_28.08.2022,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:2|sst:nu|mt:b|d:all|f:all|fs:nu|g0v0| (17373453490),17373453490,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:0|mt:e|d:all|f:all|fs:nu|g0v1| (17533705827),17533705827,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:nu|mt:e|d:all|f:all|fs:nu|g1v0| (17726932279),17726932279,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:1|mt:nu|d:all|f:all|fs:nu|g0v1| (17998034532),17998034532,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:mod|st:1|sst:nu|mt:nu|d:all|f:all|fs:nu|g1v0| (18189506091),18189506091,ohm,0
tiktok,Rocket10_Android_TikTok_Onfy_DE_1704_AK_mrmr (1730303483355170),1730303483355170,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1804_DE_OM_starttrial_bloger_w_black (1730463512600610),1730463512600610,rocket10,0
tiktok,Rocket10_Android_TikTok_0804_Onfy_DE_RV_all_prem (1729554524444689),1729554524444689,rocket10,0
tiktok,Rocket10_Android_TikTok_Onfy_DE_1004_ANI_gen (1729704570879057),1729704570879057,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_1004_la_purch_phone (1729706422126609),1729706422126609,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1304_DE_OM_starttrial (1729979998524434),1729979998524434,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1904_DE_OM_starttrial_bloger_w_black_perez (1730515752558625),1730515752558625,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1904_DE_OM_starttrial_kvadr (1730554350796834),1730554350796834,rocket10,0
tiktok,Rocket10_Android_TT_2004_Onfy_DE_aba_karus_INST_poly_w25_1 (1730625982476289),1730625982476289,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2104_DE_AM_t2 (1730711843565586),1730711843565586,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t10 (1731183683934257),1731183683934257,rocket10,0
tiktok,AdChampagne_Android_TikTok_DB23.03 (1728085298706481),1728085298706481,adchampagne,0
tiktok,AdChampagne_Android_TikTok_ABR15.03 (1727362292412449),1727362292412449,adchampagne,0
tiktok,AdChampagne_Android_TikTok_ANT14.11 (1749488300418097),1749488300418097,adchampagne,0
tiktok,AdChampagne_Android_TikTok_AV12.03 (1727013431440402),1727013431440402,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:1|sst:1|mt:e|d:all|f:all|fs:nu|g0v1|,17998034367,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:2|mt:b|d:all|f:all|fs:nu|g2v0| (18085733944),18085733944,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:2|mt:e|d:all|f:all|fs:nu|g2v0| (18086013310),18086013310,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:mod|st:2|sst:nu|mt:nu|d:all|f:all|fs:nu|g1v0| (18189506040),18189506040,ohm,0
tiktok,Adchampagne_ABR_Onfy_10.11 (1749004030519330),1749004030519330,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:2|sst:1|mt:b|d:all|f:all|fs:nu|g0v1|,17998036755,ohm,0
tiktok,Rocket10_Android_TT_Onfy_DE_2403_OR_addcart_catalog_test2 (1728197237304370),1728197237304370,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t6 (1731180350601250),1731180350601250,rocket10,0
google,Rocket10_android_Google_Onfy_DE_0605_NK_15_ip (17181037919),17181037919,rocket10,0
tiktok,Rocket10_Android_TT_2403_Onfy_DE_AP_ol_2goal (1728196925202481),1728196925202481,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_3103_ANI_catalic (1728761848128545),1728761848128545,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0404_ANI_nashne (1729174991190033),1729174991190033,rocket10,0
tiktok,Rocket10_Android_TT_0404_Onfy_DE_AP_srv_mus (1729181178554434),1729181178554434,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0504_ANI_bla (1729276546828322),1729276546828322,rocket10,0
tiktok,Rocket10_Android_TikTok_Onfy_DE_1804_ANI_go3 (1730436785602594),1730436785602594,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1804_DE_OM_adtocart_bloger_w_blond (1730462964419617),1730462964419617,rocket10,0
tiktok,Rocket10_Android_TT_2004_Onfy_DE_aba_karus_INST_poly_w25_2 (1730626217720866),1730626217720866,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t5 (1731179932651554),1731179932651554,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t7 (1731180703426609),1731180703426609,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t15 (1731185261937713),1731185261937713,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t17 (1731185821627409),1731185821627409,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t18 (1731186008834065),1731186008834065,rocket10,0
facebook,Mobihunter_Android_FB_campaign_12.10_mobihunter_Onfy_i13z_1210_DE (23851426419290470),23851426419290470,mobihunter,0
tiktok,AdChampagne_Android_TikTok_ANT17.11 (1749755032119345),1749755032119345,adchampagne,0
tiktok,Mobihunter_Android_TikTok_campaign20.09_mobihunter_Onfy_i5z_2009_DR_DE_int_addtocard (1744476656341025),1744476656341025,mobihunter,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:2|sst:1|mt:nu|d:all|f:all|fs:nu|g0v1|,17999354110,ohm,0
tiktok,adchampagne_Andr_DE_team#2_DSAP_onfy_2809 (1745139735860273),1745139735860273,adchampagne,0
tiktok,Adchampagne_TS_ONFY_and (1728722233454609),1728722233454609,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:2|sst:0|mt:nu|d:all|f:all|fs:nu|g0v1|,17728335565,ohm,0
tiktok,Adchampagne_TS_ONFY_DE (1732979453379617),1732979453379617,adchampagne,0
tiktok,AdChampagne_Android_TikTok_SCH_26.05 (1742231178201137),1742231178201137,adchampagne,0
google,ohm_web_google|plt:s|tg:ssa|t:mod|st:2|sst:nu|mt:nu|d:all|f:all|fs:nu|g0v0| (17540602242),17540602242,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:main|st:site|sst:nu|mt:nu|d:all|f:all|fs:nu|g0v0| (17932557033),17932557033,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:root|sst:nu|mt:b|d:all|f:all|fs:nu|g0v0| (18012267347),18012267347,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:offl|sst:1|mt:b|d:all|f:all|fs:nu|g2v0| (18084680337),18084680337,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:3|mt:b|d:all|f:all|fs:nu|g2v0| (18085733953),18085733953,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:generic|st:onl|sst:1|mt:b|d:all|f:all|fs:nu|g2v0| (18091108976),18091108976,ohm,0
tiktok,Whiteleads_Android_TikTok_EK (1728924235292690),1728924235292690,whiteleads,0
tiktok,Rocket10_Android_TT_Onfy_DE_1204_OM_purch_kosmet_TT_bidmax (1729912151740450),1729912151740450,rocket10,0
tiktok,Rocket10_android_TikTok_16.03_DE_OR_PolPrice_test1 (1727475689071649),1727475689071649,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_2403_OR_catalog_test1 (1728196904834065),1728196904834065,rocket10,0
tiktok,Rocket10_Android_TT_2503_Onfy_DE_AP_obzor_2goal (1728297484094465),1728297484094465,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0804_ANI_unpii (1729533213646881),1729533213646881,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_0804_la_purch_girl (1729548523256881),1729548523256881,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_0804_OM_purch_kosmet (1729548695727137),1729548695727137,rocket10,0
tiktok,Rocket10_Android_TikTok_Onfy_DE_0804_ANI_vas (1729567441411089),1729567441411089,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_1004_AP_unp (1729703012556817),1729703012556817,rocket10,0
tiktok,Rocket10_Android_TikTok_1004_Onfy_DE_RV_GRANinst_prem_auto (1729709622934578),1729709622934578,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1304_DE_OR_PolPrice_newsound_purch (1729988828458001),1729988828458001,rocket10,0
tiktok,Rocket10_Android_TikTok_1304_Onfy_DE_RV_startHOLSTGRANY (1730004291880978),1730004291880978,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1504_DE_OM_starttrial_perez (1730178181704722),1730178181704722,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_1804_DE_OR_Dre_black_purch_dyn (1730453942799393),1730453942799393,rocket10,0
tiktok,Rocket10_Android_TikTok_Onfy_DE_2004_ANI_bla3 (1730630711818241),1730630711818241,rocket10,0
tiktok,Rocket10_Android_TT_2204_Onfy_DE_AP_obz_gor (1730820773881873),1730820773881873,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t13 (1731184464904241),1731184464904241,rocket10,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:2|sst:0|mt:b|d:all|f:all|fs:nu|g0v1|,17728338676,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:3|mt:nu|d:all|f:all|fs:nu|g0v0|,17432491628,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:75|mt:nu|d:all|f:all|fs:nu|g1v0|,18574837084,ohm,0
google,ohm_web_google|plt:s|tg:ssa|t:riz|st:2|sst:1|mt:e|d:all|f:all|fs:nu|g0v1|,17998036701,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:150|mt:nu|d:all|f:all|fs:nu|g1v0|,18571230615,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:100|mt:nu|d:all|f:all|fs:nu|g1v0|,18574811728,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:50|mt:nu|d:all|f:all|fs:nu|g1v0|,18574837105,ohm,0
google,ohm_web_google|plt:s|tg:dsa|t:mod|st:feed|sst:1|mt:nu|d:all|f:all|fs:nu|g1v0|,18571221309,ohm,0
tiktok,Rocket10_Android_TT_3103_Onfy_DE_AP_unpack_2goal (1728815357793330),1728815357793330,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_0804_la_purch_inter_5 (1729549343293490),1729549343293490,rocket10,0
tiktok,Rocket10_Android_TikTok_0804_Onfy_DE_RV_allinst (1729554933705730),1729554933705730,rocket10,0
tiktok,Rocket10_Android_TikTok_2204_Onfy_DE_RV_allmill (1730799401377810),1730799401377810,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_2604_DE_AM_t14 (1731184714013730),1731184714013730,rocket10,0
tiktok,Whiteleads_Android_TikTok_RZ1 (1733806448787490),1733806448787490,whiteleads,0
google,ohm_app_android_google_uac_install (16607689084),16607689084,ohm,0
google,Google_shopping_18k_incl drugs_30.03.22 (16718892944),16718892944,google,0
google,Rocket10_android_Google_Onfy_DE_2904_NK_11 (17093816117),17093816117,rocket10,0
google,Rocket10_android_Google_Onfy_DE_0405_NK_14 (17136418308),17136418308,rocket10,0
tiktok,Rocket10_TT_Onfy_Android_DE_1703_AP_marat2_inst (1727534110227505),1727534110227505,rocket10,0
tiktok,Rocket10_Android_TT_1803_Onfy_DE_AP_srav_purch (1727647813768209),1727647813768209,rocket10,0
tiktok,Rocket10_android_TikTok_1803_DE_OR_PolPrice_newsound_secgoal (1727648211479554),1727648211479554,rocket10,0
tiktok,Rocket10_Android_TT_2103_Onfy_DE_aba_blog_2goal_dre_1 (1727900592860178),1727900592860178,rocket10,0
tiktok,Rocket10_Android_TT_2203_Onfy_DE_AP_srav_pur_auto (1727990849371186),1727990849371186,rocket10,0
tiktok,Rocket10_android_TT_2203_Onfy_DE_OR_PolPrice_newsound_purch_int (1727994001937441),1727994001937441,rocket10,0
tiktok,Rocket10_android_TT_2203_Onfy_DE_OR_Native_purch_25 (1728000301323297),1728000301323297,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_2403_AP_catal (1728193197514754),1728193197514754,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_2503_AP_catal2 (1728286147747937),1728286147747937,rocket10,0
google,ohmsd_app_android_google_uac_ua (17283741292),17283741292,ohmsd,0
tiktok,Rocket10_android_TikTok_Onfy_0104_DE_aba_karus_w_1 (1728915799429138),1728915799429138,rocket10,0
tiktok,Whiteleads_Android_TikTok_MK (1728923539969073),1728923539969073,whiteleads,0
tiktok,Rocket10_Onfy_Android_DE_0104_ANI_sale (1728928751882289),1728928751882289,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0204_ANI_avtt (1728985516038146),1728985516038146,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0204_ANI_catali2 (1729015773982785),1729015773982785,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0304_AM (1729101394514961),1729101394514961,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0504_ANI_salMUz (1729259664980001),1729259664980001,rocket10,0
tiktok,Rocket10_Onfy_Android_DE_0504_AM_test (1729262252094498),1729262252094498,rocket10,0
tiktok,Rocket10_Android_TT_0404_Onfy_DE_AP_srv_mus_buzz (1729274617014289),1729274617014289,rocket10,0
tiktok,Rocket10_Android_TT_0804_Onfy_DE_OR_purch_ruchka_testopt_cut (1729539941139457),1729539941139457,rocket10,0
tiktok,Rocket10_Android_TT_0804_Onfy_DE_OR_ruchka_Wom2_brod_int (1729541343175714),1729541343175714,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_0804_OM_purch_inter_2 (1729549024409617),1729549024409617,rocket10,0
tiktok,Rocket10_Android_TT_0804_Onfy_DE_OR_ruchka_Wom1_brod_int (1729550574827522),1729550574827522,rocket10,0
tiktok,Rocket10_Android_TT_0804_Onfy_DE_aba_ruka_blog_PURCH_new_1 (1729552716407841),1729552716407841,rocket10,0
tiktok,Rocket10_Android_TikTok_0804_Onfy_DE_RV_allinst_prem (1729555079287841),1729555079287841,rocket10,0
tiktok,Rocket10_Android_TikTok_0804_Onfy_DE_RV_all_uzko (1729555495488546),1729555495488546,rocket10,0
tiktok,Rocket10_Android_TT_0904_Onfy_DE_AP_pril (1729611471348738),1729611471348738,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_0904_la_purch_inter_5_perezap (1729633896796193),1729633896796193,rocket10,0
tiktok,Rocket10_android_TikTok_Onfy_0904_DE_AK_nasss (1729634550023201),1729634550023201,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_1004_la_purch_unpk (1729704707423234),1729704707423234,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_1004_la_purch_music (1729704958093361),1729704958093361,rocket10,0
tiktok,Rocket10_Android_TT_Onfy_DE_1004_la_add_music (1729706795336753),1729706795336753,rocket10,0
